"well" "gene" "Ct" "type" "flag"
"A1" "gene1" 33.77 "data" "OK"
"A2" "gene2" 23.54 "data" "OK"
"A3" "gene3" 29.97 "data" "OK"
"A4" "gene4" 28.08 "data" "OK"
"A5" "gene5" 30.75 "data" "OK"
"A6" "gene6" 33.98 "data" "OK"
"A7" "gene7" 31.88 "data" "OK"
"A8" "gene8" 21.66 "data" "OK"
"A9" "gene9" 31.79 "data" "OK"
"A10" "gene10" 31.94 "data" "OK"
"A11" "gene11" 21.56 "data" "OK"
"A12" "gene12" 35.43 "data" "OK"
"A13" "gene13" 33.27 "data" "OK"
"A14" "gene14" 32.86 "data" "OK"
"A15" "gene15" 21.26 "data" "OK"
"A16" "gene16" 20.19 "data" "OK"
"A17" "gene17" 23.88 "data" "OK"
"A18" "gene18" 24.76 "data" "OK"
"A19" "gene19" 34.94 "data" "OK"
"A20" "gene20" 32.44 "data" "OK"
"A21" "gene21" 27.55 "data" "OK"
"A22" "gene22" 25.51 "data" "OK"
"A23" "gene23" 33.82 "data" "OK"
"A24" "gene24" 32.92 "data" "OK"
"A25" "gene25" 30.47 "data" "OK"
"A26" "gene26" 27.85 "data" "OK"
"A27" "gene27" 31.32 "data" "OK"
"A28" "gene28" 24.93 "data" "OK"
"A29" "gene29" 34.68 "data" "OK"
"A30" "gene30" 29.74 "data" "OK"
"A31" "gene31" 30.55 "data" "OK"
"A32" "gene32" 20.96 "data" "OK"
"A33" "gene33" 28.28 "data" "OK"
"A34" "gene34" 34.93 "data" "OK"
"A35" "gene35" 32.94 "data" "OK"
"A36" "gene36" 34.39 "data" "OK"
"A37" "gene37" 18.76 "data" "OK"
"A38" "gene38" 32.04 "data" "OK"
"A39" "gene39" 34.53 "data" "OK"
"A40" "gene40" 33.52 "data" "OK"
"A41" "gene41" 30.79 "data" "OK"
"A42" "gene42" 31.3 "data" "OK"
"A43" "gene43" 35.6 "data" "OK"
"A44" "gene44" 35.18 "data" "OK"
"A45" "gene45" 34 "data" "OK"
"A46" "gene46" 25.08 "data" "OK"
"A47" "gene47" 24.06 "data" "OK"
"A48" "gene48" "NA" "data" "OK"
"A49" "gene49" 31.61 "data" "OK"
"A50" "gene50" 24.29 "data" "OK"
"A51" "gene51" 26.52 "data" "OK"
"A52" "gene52" 28.65 "data" "OK"
"A53" "gene53" 24.32 "data" "OK"
"A54" "gene54" 36.45 "data" "OK"
"A55" "gene55" 34.89 "data" "OK"
"A56" "gene56" 34.11 "data" "OK"
"A57" "gene57" 33.61 "data" "OK"
"A58" "gene58" 34.82 "data" "OK"
"A59" "gene59" 28.17 "data" "OK"
"A60" "gene60" 35.78 "data" "OK"
"A61" "gene61" 31.16 "data" "OK"
"A62" "gene62" 33.86 "data" "OK"
"A63" "gene63" 31.5 "data" "OK"
"A64" "gene64" 32.12 "data" "OK"
"A65" "gene65" 35.24 "data" "OK"
"A66" "gene66" 30 "data" "OK"
"A67" "gene67" 32.86 "data" "OK"
"A68" "gene68" 30.97 "data" "OK"
"A69" "gene69" 18.63 "data" "OK"
"A70" "gene70" 34.27 "data" "OK"
"A71" "gene71" 34.68 "data" "OK"
"A72" "gene72" 24.93 "data" "OK"
"A73" "gene73" 20.57 "data" "OK"
"A74" "gene74" 27.67 "data" "OK"
"A75" "gene75" 14.88 "data" "OK"
"A76" "gene76" 28.4 "data" "OK"
"A77" "gene77" 33.66 "data" "OK"
"A78" "gene78" 24.26 "data" "OK"
"A79" "gene79" 30.31 "data" "OK"
"A80" "gene80" 29.22 "data" "OK"
"A81" "gene81" 33.35 "data" "OK"
"A82" "gene82" 28.13 "data" "OK"
"A83" "gene83" 26.1 "data" "OK"
"A84" "gene84" 35.42 "data" "OK"
"A85" "ctrl1" 14.36 "hk" "OK"
"A86" "ctrl2" 15.91 "hk" "OK"
"A87" "ctrl3" 17.34 "hk" "OK"
"A88" "ctrl4" 18.88 "hk" "OK"
"A89" "ctrl5" 17.64 "hk" "OK"
"A90" "ctrl6" "NA" "neg" "OK"
"A91" "ctrl7" "NA" "neg" "OK"
"A92" "ctrl8" "NA" "neg" "OK"
"A93" "ctrl9" "NA" "neg" "OK"
"A94" "ctrl10" 22.06 "pos" "OK"
"A95" "ctrl11" 21.93 "pos" "OK"
"A96" "ctrl12" 21.96 "pos" "OK"
