"well" "gene" "Ct" "type" "flag"
"A1" "gene1" 36.08 "data" "OK"
"A2" "gene2" 21.73 "data" "OK"
"A3" "gene3" 33.45 "data" "OK"
"A4" "gene4" 32.73 "data" "OK"
"A5" "gene5" 33.73 "data" "OK"
"A6" "gene6" 34.55 "data" "OK"
"A7" "gene7" 31.22 "data" "OK"
"A8" "gene8" 16.06 "data" "OK"
"A9" "gene9" 31.58 "data" "OK"
"A10" "gene10" 32.81 "data" "OK"
"A11" "gene11" 16 "data" "OK"
"A12" "gene12" 34.02 "data" "OK"
"A13" "gene13" 28.19 "data" "OK"
"A14" "gene14" 31.42 "data" "OK"
"A15" "gene15" 15.74 "data" "OK"
"A16" "gene16" 15.41 "data" "OK"
"A17" "gene17" 15.62 "data" "OK"
"A18" "gene18" 17.68 "data" "OK"
"A19" "gene19" 37.75 "data" "OK"
"A20" "gene20" 32.58 "data" "OK"
"A21" "gene21" 28.03 "data" "OK"
"A22" "gene22" 22.66 "data" "OK"
"A23" "gene23" 31.15 "data" "OK"
"A24" "gene24" 25.92 "data" "OK"
"A25" "gene25" 33.56 "data" "OK"
"A26" "gene26" 25.77 "data" "OK"
"A27" "gene27" 28.93 "data" "OK"
"A28" "gene28" 14.86 "data" "OK"
"A29" "gene29" 26.88 "data" "OK"
"A30" "gene30" 33.75 "data" "OK"
"A31" "gene31" 25.57 "data" "OK"
"A32" "gene32" 19.56 "data" "OK"
"A33" "gene33" 23.72 "data" "OK"
"A34" "gene34" 35.36 "data" "OK"
"A35" "gene35" 24.26 "data" "OK"
"A36" "gene36" 35.69 "data" "OK"
"A37" "gene37" 20.03 "data" "OK"
"A38" "gene38" 35.97 "data" "OK"
"A39" "gene39" 34.83 "data" "OK"
"A40" "gene40" 36.03 "data" "OK"
"A41" "gene41" 27.58 "data" "OK"
"A42" "gene42" 36.57 "data" "OK"
"A43" "gene43" 36.43 "data" "OK"
"A44" "gene44" 25.39 "data" "OK"
"A45" "gene45" 36.33 "data" "OK"
"A46" "gene46" 20.78 "data" "OK"
"A47" "gene47" 27.05 "data" "OK"
"A48" "gene48" "NA" "data" "OK"
"A49" "gene49" 31.83 "data" "OK"
"A50" "gene50" 20.8 "data" "OK"
"A51" "gene51" 22.22 "data" "OK"
"A52" "gene52" 19.27 "data" "OK"
"A53" "gene53" 21.49 "data" "OK"
"A54" "gene54" 35.74 "data" "OK"
"A55" "gene55" 36.68 "data" "OK"
"A56" "gene56" 35.82 "data" "OK"
"A57" "gene57" 32.77 "data" "OK"
"A58" "gene58" 34.51 "data" "OK"
"A59" "gene59" 21.3 "data" "OK"
"A60" "gene60" 37.5 "data" "OK"
"A61" "gene61" 34.33 "data" "OK"
"A62" "gene62" 35.74 "data" "OK"
"A63" "gene63" 23.81 "data" "OK"
"A64" "gene64" 30.45 "data" "OK"
"A65" "gene65" 37.57 "data" "OK"
"A66" "gene66" 33.42 "data" "OK"
"A67" "gene67" 28.19 "data" "OK"
"A68" "gene68" 28.75 "data" "OK"
"A69" "gene69" 18.93 "data" "OK"
"A70" "gene70" "NA" "data" "OK"
"A71" "gene71" "NA" "data" "OK"
"A72" "gene72" 23 "data" "OK"
"A73" "gene73" 20.24 "data" "OK"
"A74" "gene74" 27.32 "data" "OK"
"A75" "gene75" 15.84 "data" "OK"
"A76" "gene76" 32 "data" "OK"
"A77" "gene77" 35.77 "data" "OK"
"A78" "gene78" 17.39 "data" "OK"
"A79" "gene79" 34.58 "data" "OK"
"A80" "gene80" 22.67 "data" "OK"
"A81" "gene81" 35.12 "data" "OK"
"A82" "gene82" 29.33 "data" "OK"
"A83" "gene83" 26.18 "data" "OK"
"A84" "gene84" 35.08 "data" "OK"
"A85" "ctrl1" 13.64 "hk" "OK"
"A86" "ctrl2" 15.01 "hk" "OK"
"A87" "ctrl3" 18.01 "hk" "OK"
"A88" "ctrl4" 19.94 "hk" "OK"
"A89" "ctrl5" 18.19 "hk" "OK"
"A90" "ctrl6" "NA" "neg" "OK"
"A91" "ctrl7" "NA" "neg" "OK"
"A92" "ctrl8" "NA" "neg" "OK"
"A93" "ctrl9" "NA" "neg" "OK"
"A94" "ctrl10" 22.28 "pos" "OK"
"A95" "ctrl11" 22.25 "pos" "OK"
"A96" "ctrl12" 22.08 "pos" "OK"
